Supermercado;Categoria;Producto;Precio;URL;Fecha
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart tv android 50 Philips 4k 50pud7408 77;$ 569.999,00;https://carrefourar.vtexassets.com/arquivos/ids/424308-170-170?v=638379155750800000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart tv 55 Philips 4k 55pud7408 77;$ 699.000,00;https://carrefourar.vtexassets.com/arquivos/ids/472268-170-170?v=638425037598830000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart tv  43"" Philips fhd 43pfd6918 77";$ 449.000,00;https://carrefourar.vtexassets.com/arquivos/ids/422918-170-170?v=638373193047930000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart tv android 32"" Philco hd 91pld32hs23ch";$ 499.999,00;https://carrefourar.vtexassets.com/arquivos/ids/422912-170-170?v=638373192982500000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Soporte para TV Eurosound ESF2000 fijo negro 32"" a 60""";$ 299.999,00;https://carrefourar.vtexassets.com/arquivos/ids/345718-170-170?v=638230486184700000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Soporte tv Eurosound 15 a 43 fijo;$ 18.900,00;https://carrefourar.vtexassets.com/arquivos/ids/205313-170-170?v=637604375815700000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart tv android 32"" Philips hd 32phd6918 77";$ 13.900,00;https://carrefourar.vtexassets.com/arquivos/ids/424734-170-170?v=638381697893900000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart tv android 58 Noblex 4k 91db58x7500;$ 329.999,00;https://carrefourar.vtexassets.com/arquivos/ids/332981-170-170?v=638212369753570000&width=170&height=170&aspect=true;14/05/2024, 23:10:13
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart  TV LG 55'' 4K nanocel 55NANO80SQA;$ 1.299.999,00;https://carrefourar.vtexassets.com/arquivos/ids/395343-170-170?v=638327098560630000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart tv 55 Samsung 4k qled qn55ls03bagczbc frame;$ 1.869.000,00;https://carrefourar.vtexassets.com/arquivos/ids/346005-170-170?v=638233844826530000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Soporte para TV led TGW de 14"" a 43"" movil con doble brazo";$ 49.999,00;https://carrefourar.vtexassets.com/arquivos/ids/346362-170-170?v=638235603221300000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart TV LG 50'' 4K 50UR8750PSA;$ 799.999,00;https://carrefourar.vtexassets.com/arquivos/ids/395353-170-170?v=638327113302030000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart TV UHD 4K 65"" SHARP GOOGLE TV S6523US6G";$ 899.999,00;https://carrefourar.vtexassets.com/arquivos/ids/426955-170-170?v=638386819324570000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart TV 50"" Samsung 4K NEO QLED QN50QN90CAGCZB";$ 1.259.999,00;https://carrefourar.vtexassets.com/arquivos/ids/373508-170-170?v=638307330960170000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr;$ 1.899.000,00;https://carrefourar.vtexassets.com/arquivos/ids/420699-170-170?v=638363547608370000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Kit Antena DirecTV Prepago 60 cm;$ 2.199.000,00;https://carrefourar.vtexassets.com/arquivos/ids/156874-170-170?v=637467542669830000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Antena Directv Prepago 046 MTS;$ 317.519,00;https://carrefourar.vtexassets.com/arquivos/ids/156944-170-170?v=637467543386930000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Control remoto WIZ smart con baterías;$ 391.999,00;https://carrefourar.vtexassets.com/arquivos/ids/253331-170-170?v=637951614450300000&width=170&height=170&aspect=true;14/05/2024, 23:10:21
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart tv 75"" Samsung 4k qled qn75ls03bagczbb frame";$ 3.266.000,00;https://carrefourar.vtexassets.com/arquivos/ids/372494-170-170?v=638303133934200000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart tv 55"" Samsung 4k oled qn55s90cagczb";$ 2.464.000,00;https://carrefourar.vtexassets.com/arquivos/ids/372535-170-170?v=638303134318270000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart tv 65 Samsung 4k qled qn65ls03bagczbc frame;$ 3.024.000,00;https://carrefourar.vtexassets.com/arquivos/ids/346011-170-170?v=638233844890130000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart tv BGH  55"" google tv  4k b5523us6g";$ 2.199.999,00;https://carrefourar.vtexassets.com/arquivos/ids/508951-170-170?v=638489664041700000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Soporte movil lcd/led de 26"" a 60""";$ 749.999,00;https://carrefourar.vtexassets.com/arquivos/ids/156881-170-170?v=637467542754730000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Philips Hue Play Gradient Lightstrip Tira Led 65 Pulgadas;$ 85.900,00;https://carrefourar.vtexassets.com/arquivos/ids/509364-170-170?v=638490684369800000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv Motorola 43 Pulgadas 91mt43e3a Android Tv Fhd Tda;$ 449.990,00;https://carrefourar.vtexassets.com/arquivos/ids/514335-170-170?v=638500010010300000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv Motorola 32 Pulgadas 91mt32e3a Android Tv Hd Tda;$ 329.999,00;https://carrefourar.vtexassets.com/arquivos/ids/514345-170-170?v=638500010837570000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv Samsung 50 Pulgadas Un50cu7000gczb Crystal Uhd 4k;$ 439.999,00;https://carrefourar.vtexassets.com/arquivos/ids/508771-170-170?v=638489609341200000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Soporte tv Eurosound 32 a 60 basculante;$ 228.159,00;https://carrefourar.vtexassets.com/arquivos/ids/205304-170-170?v=637604375743270000&width=170&height=170&aspect=true;14/05/2024, 23:10:30
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"TV LED NOBLEX DB24X4000PI 24"" HD";$ 245.699,00;https://carrefourar.vtexassets.com/arquivos/ids/517179-170-170?v=638507674799130000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv LG 55 Pulgadas 55nano80sqa Led 4k Uhd Webos 22;$ 272.999,00;https://carrefourar.vtexassets.com/arquivos/ids/514306-170-170?v=638500007747100000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Soporte fijo TGW lcd/led de 13"" a 42"" HSTV81S";$ 813.399,00;https://carrefourar.vtexassets.com/arquivos/ids/156880-170-170?v=637467542746270000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv Samsung Un43t5300agczb Led Full Hd 43 Televisor Hdr;$ 1.161.999,00;https://carrefourar.vtexassets.com/arquivos/ids/514325-170-170?v=638500009209000000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart Tv Tcl L65c835 65 Pulgadas 144hz Mini Led 4k Uhd;$ 20.900,00;https://carrefourar.vtexassets.com/arquivos/ids/514318-170-170?v=638500008539500000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart TV Noblex android 65"" 4K QLED 91DQ65X9500 negro";$ 454.079,00;https://carrefourar.vtexassets.com/arquivos/ids/258664-170-170?v=638018837226200000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Soporte móvil de TV TGW para pared 17"" a 42""";$ 567.599,00;https://carrefourar.vtexassets.com/arquivos/ids/156869-170-170?v=637467542629470000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart TV enova 32"" LED HD Android TV";$ 1.679.999,00;https://carrefourar.vtexassets.com/arquivos/ids/521816-170-170?v=638509453639670000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;TV Monitor enova 24'' Full HD Frameless;$ 2.099.999,00;https://carrefourar.vtexassets.com/arquivos/ids/521790-170-170?v=638509449211770000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;"Smart TV Skyworth 75"" LED 4K UHD Google TV Frameless";$ 1.299.000,00;https://carrefourar.vtexassets.com/arquivos/ids/521807-170-170?v=638509452306800000&width=170&height=170&aspect=true;14/05/2024, 23:10:38
CAR;Electro-y-tecnologia/Smart-tv-y-soportes;Smart tv 50 Noblex 4k qled dq50x9500;$ 699.000,00;https://carrefourar.vtexassets.com/arquivos/ids/521768-170-170?v=638509424562100000&width=170&height=170&aspect=true;14/05/2024, 23:10:45
CAR;Electro-y-tecnologia/Informatica-y-gaming;"Monitor LED 32"" CHIQ  / QHD/ HDMI/ 32F600";$ 269.070,00;https://carrefourar.vtexassets.com/arquivos/ids/419734-170-170?v=638361973543330000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;"Monitor led Chiq  27"" fhd hdmi vga";$ 299.000,00;https://carrefourar.vtexassets.com/arquivos/ids/419731-170-170?v=638361973524170000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;"Monitor Led 24"" CHIQ  FHD/ HDMI /LMN24F650";$ 197.078,00;https://carrefourar.vtexassets.com/arquivos/ids/419728-170-170?v=638361973500600000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;Impresora sist continuo Epson wi fi ecotank l1250;$ 219.000,00;https://carrefourar.vtexassets.com/arquivos/ids/346351-170-170?v=638235553319370000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;"Monitor led  HKC 24"" FHD HK24FHDP negro";$ 152.083,00;https://carrefourar.vtexassets.com/arquivos/ids/200323-170-170?v=637541734385200000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;Mouse optico maxell azul 5 botones mod 438418;$ 169.000,00;https://carrefourar.vtexassets.com/arquivos/ids/373483-170-170?v=638307258235730000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cable micro usb Poss Round PSMICRO-1RBK negro;$ 349.999,00;https://carrefourar.vtexassets.com/arquivos/ids/245845-170-170?v=637901217115970000&width=170&height=170&aspect=true;14/05/2024, 23:10:53
CAR;Electro-y-tecnologia/Informatica-y-gaming;Botella de tinta HP GT53 negro;$ 26.999,00;https://carrefourar.vtexassets.com/arquivos/ids/167319-170-170?v=637468488569400000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Botella tinta Epson T544520-4P pack x 4 uni CMYK;$ 104.399,00;https://carrefourar.vtexassets.com/arquivos/ids/234675-170-170?v=637792466498870000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Notebook Lenovo 14 ci3 1115g4 8gb 256gb 82h701dtar;$ 1.249.999,00;https://carrefourar.vtexassets.com/arquivos/ids/364614-170-170?v=638265174401830000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Mouse optico inalambrico Maxell negro mod348584;$ 11.240,00;https://carrefourar.vtexassets.com/arquivos/ids/494728-170-170?v=638470631614430000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Teclado gamer Poss psgk808bk;$ 25.000,00;https://carrefourar.vtexassets.com/arquivos/ids/437348-170-170?v=638400757772770000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;"Monitor Led 27"" Noblex fhd 91MK27X7100";$ 239.969,00;https://carrefourar.vtexassets.com/arquivos/ids/314965-170-170?v=638175079683930000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;"Monitor led Samsung 22"" FHD VGA HDMI LF22T350FHLCZB negro";$ 299.999,00;https://carrefourar.vtexassets.com/arquivos/ids/208941-170-170?v=637641362573200000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Mouse optico Maxell plata 5 botones mod 438418;$ 199.000,00;https://carrefourar.vtexassets.com/arquivos/ids/367029-170-170?v=638277186659300000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Botella de tinta HP GT52  amarilla;$ 249.999,00;https://carrefourar.vtexassets.com/arquivos/ids/167296-170-170?v=637468488431130000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Mouse con cable usb Poss psom05bk negro;$ 5.090,00;https://carrefourar.vtexassets.com/arquivos/ids/419724-170-170?v=638361973455370000&width=170&height=170&aspect=true;14/05/2024, 23:11:03
CAR;Electro-y-tecnologia/Informatica-y-gaming;Pc de escritorio GFAST CEL N4020 4GB 120GB H 150 CHILD I4120W;$ 364.614,00;https://carrefourar.vtexassets.com/arquivos/ids/319079-170-170?v=638181342827130000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Teclado mouse maxell inalambrico wkbc 300 negro;$ 429.900,00;https://carrefourar.vtexassets.com/arquivos/ids/364672-170-170?v=638265846383870000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Camara de seguridad Tenda ct3 1080p wifi exterior;$ 57.659,00;https://carrefourar.vtexassets.com/arquivos/ids/476557-170-170?v=638439609769230000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cable hdmi a mini hdmi Poss 1.8m negro;$ 75.900,00;https://carrefourar.vtexassets.com/arquivos/ids/483170-170-170?v=638447303929200000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cable hdmi a hdmi Poss 5mts negro;$ 4.899,00;https://carrefourar.vtexassets.com/arquivos/ids/492604-170-170?v=638464654872400000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cartucho magenta Epson T206320-aL;$ 5.999,00;https://carrefourar.vtexassets.com/arquivos/ids/167287-170-170?v=637468488385000000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cartucho cyan Epson T206220-al;$ 19.499,00;https://carrefourar.vtexassets.com/arquivos/ids/167286-170-170?v=637468488379670000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cartucho amarillo Epson T206420-aL;$ 25.999,00;https://carrefourar.vtexassets.com/arquivos/ids/167288-170-170?v=637468488389200000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Kit De Cartuchos De Tinta Hp 667 Tricolor + Negro Original;$ 19.499,00;https://carrefourar.vtexassets.com/arquivos/ids/374237-170-170?v=638308363560800000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
CAR;Electro-y-tecnologia/Informatica-y-gaming;Cartucho HP 667 Tri Color;$ 25.999,00;https://carrefourar.vtexassets.com/arquivos/ids/167328-170-170?v=637468488609000000&width=170&height=170&aspect=true;14/05/2024, 23:11:13
