Supermercado;Categoria;Producto;Precio;URL;Fecha
JUM;Almacen;Yerba Mate Playadito Suave 1 Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/711224-500-auto?v=637938633804770000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Yerba Mate Playadito Suave 1 Kg;$4.257;https://jumboargentinaio.vtexassets.com/arquivos/ids/711224-500-auto?v=637938633804770000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Galletitas Pepitos Con Chips De Chocolate 357g. Pack X 3 Unidades De 119g.;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/804479-500-auto?v=638386293793430000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Galletitas Pepitos Con Chips De Chocolate 357g. Pack X 3 Unidades De 119g.;$3.000;https://jumboargentinaio.vtexassets.com/arquivos/ids/804479-500-auto?v=638386293793430000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Aceite De Girasol Natura 1.5 L;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Aceite De Girasol Natura 1.5 L;$2.854;https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Atun Al Natural La Campagnola 170 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/703709-500-auto?v=637895325885100000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Atun Al Natural La Campagnola 170 Gr;$3.689;https://jumboargentinaio.vtexassets.com/arquivos/ids/703709-500-auto?v=637895325885100000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Yerba Mate De Campo La Merced 500 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Yerba Mate De Campo La Merced 500 Gr;$3.520;https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Yerba Mate De Campo La Merced 500 Gr;$2.640;https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true;12/05/2024, 23:24:13
JUM;Almacen;Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.;$1.150;https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.;$747,5;https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true;12/05/2024, 23:24:13
JUM;Almacen;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
JUM;Almacen;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$2.100;https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true;12/05/2024, 23:20:39
JUM;Almacen;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$1.500;https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true;12/05/2024, 23:24:13
JUM;Almacen;Cafe Expresso Molido Tostado La Virginia 500 Gr;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/680335-500-auto?v=637744887545730000&width=500&height=auto&aspect=true;12/05/2024, 23:19:24
