Categoria;Producto;Precio;URL de la imagen;Fecha_hora

almacen;Lomitos de atún Carrefour classic al natural 170 g.;$ 1.791,00;https://carrefourar.vtexassets.com/arquivos/ids/386717-170-170?v=638318705666830000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Puré de tomate Carrefour classic 520 g.;$ 1.990,00;https://carrefourar.vtexassets.com/arquivos/ids/386694-170-170?v=638318705570400000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Mayonesa Natura 475 g.;$ 699,00;https://carrefourar.vtexassets.com/arquivos/ids/359574-170-170?v=638258195873930000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Aceite de girasol Carrefour alto omega pet 900 cc.;$ 1.280,00;https://carrefourar.vtexassets.com/arquivos/ids/246133-170-170?v=637901365090430000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Sal fina Celusal paquete 500 g.;$ 1.395,00;https://carrefourar.vtexassets.com/arquivos/ids/196629-170-170?v=637523688684930000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Fideos tallarin N5 Lucchetti 500 g.;$ 1.550,00;https://carrefourar.vtexassets.com/arquivos/ids/370666-170-170?v=638297065488670000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Fideos mostacholes N51 Lucchetti rayado 500 g.;$ 885,00;https://carrefourar.vtexassets.com/arquivos/ids/370667-170-170?v=638297065496300000&width=170&height=170&aspect=true;09/05/2024, 16:33:46
almacen;Lomitos de atún Carrefour classic al natural 170 g.;$ 1.791,00;https://carrefourar.vtexassets.com/arquivos/ids/386717-170-170?v=638318705666830000&width=170&height=170&aspect=true;09/05/2024, 16:33:51
almacen;Puré de tomate Carrefour classic 520 g.;$ 1.990,00;https://carrefourar.vtexassets.com/arquivos/ids/386694-170-170?v=638318705570400000&width=170&height=170&aspect=true;09/05/2024, 16:33:51
almacen;Mayonesa Natura 475 g.;$ 699,00;https://carrefourar.vtexassets.com/arquivos/ids/359574-170-170?v=638258195873930000&width=170&height=170&aspect=true;09/05/2024, 16:33:51
almacen;Aceite de girasol Carrefour alto omega pet 900 cc.;$ 1.280,00;https://carrefourar.vtexassets.com/arquivos/ids/246133-170-170?v=637901365090430000&width=170&height=170&aspect=true;09/05/2024, 16:33:51
almacen;Sal fina Celusal paquete 500 g.;$ 1.395,00;https://carrefourar.vtexassets.com/arquivos/ids/196629-170-170?v=637523688684930000&width=170&height=170&aspect=true;09/05/2024, 16:33:51
