Categoria;Fecha_hora;Producto;Precio;URL de la imagen
almacen;09/05/2024, 12:46:22;Pizza con Mozzarella y Jamón sin Tacc Keila x 360 g.;$ 6.550,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19871.jpg
almacen;09/05/2024, 12:46:22;Atún al Natural en Lomitos La Anónima x 160 g.;$ 4.912,50;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/824.jpg
almacen;09/05/2024, 12:46:22;Galletitas con chips x 3 Un. Pepitos x 357 g.;$2.600,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21993.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo 4Flex Mañanita x 1 Kg.;$ 1.749,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11726.jpg
almacen;09/05/2024, 12:46:22;Azúcar Blanco Refinado Superior  Ledesma x 1 Kg.;$3.800,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000016000/16240.jpg
almacen;09/05/2024, 12:46:22;Galletitas Surtidas Bagley x 400 g.;$ 3.320,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27517.jpg
almacen;09/05/2024, 12:46:22;Aceite de Girasol La Anónima x 900 cc.;$ 2.158,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1677.jpg
almacen;09/05/2024, 12:46:22;Harina 0000 Fortivac x 1 Kg.;$5.950,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000017000/17612.jpg
almacen;09/05/2024, 12:46:22;Atún en Aceite y Agua en Lomitos La Anónima x 160 g.;$ 4.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4943.jpg
almacen;09/05/2024, 12:46:22;Caldo de Verduras con Vegetales Knorr x 114 g.;$ 3.600,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27509.jpg
almacen;09/05/2024, 12:46:22;"Azucar Comun ""A"" Ancaste x 1 Kg.";$1650.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26975.jpg
almacen;09/05/2024, 12:46:22;Tomate Perita Entero La Anónima x 400 g.;$ 1.199,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25228.jpg
almacen;09/05/2024, 12:46:22;Galletitas Dulces Rellenas con Crema Oreo 354g;$1750.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21989.jpg
almacen;09/05/2024, 12:46:22;Arvejas Secas Remojadas Inca x 350 g.;$ 1.580,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2193.jpg
almacen;09/05/2024, 12:46:22;Paté de Foie Swift x 90 g.;$ 1.185,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2091.jpg
almacen;09/05/2024, 12:46:22;Galletitas con Mouse Milka Chocolate x 116 g.;$1.850,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000005000/5702.jpg
almacen;09/05/2024, 12:46:22;Mayonesa Clasica Doy Pack Hellmanns x 475 g.;$ 1.390,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000018000/18098.jpg
almacen;09/05/2024, 12:46:22;Picadillo de Carne Swift x 90 g.;$1050.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2094.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo Suave Playadito x 1 Kg.;$ 649,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000012000/12710.jpg
almacen;09/05/2024, 12:46:22;Sal Fina Dos Anclas Estuche x 500 g.;$2.600,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2121.jpg
almacen;09/05/2024, 12:46:22;Mayonesa Liviana Cada Día Doy Pack x 500 cc.;$ 1.749,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4417.jpg
almacen;09/05/2024, 12:46:22;Nesquik Original Cacao en Polvo x 800 g.;$1.800,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26080.jpg
almacen;09/05/2024, 12:46:22;Fideos Tallarín N 5 Lucchetti x 500 g.;$ 1.700,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25600.jpg
almacen;09/05/2024, 12:46:22;Mostaza Original Doy Pack Savora x 250 g.;$ 1.275,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000020000/20083.jpg
almacen;09/05/2024, 12:46:22;Fideos Tirabuzón Fort Favorita x 500 g.;$1.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8118.jpg
almacen;09/05/2024, 12:46:22;Harina de Trigo 0000 Favorita x 1 Kg.;$ 999,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26646.jpg
almacen;09/05/2024, 12:46:22;Bizcochos Don Satur Salados x 200 g.;$1.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4586.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Original Nescafé Dolca x 170g.;$ 799,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25871.jpg
almacen;09/05/2024, 12:46:22;Fideos Mostachol N 51 Lucchetti x 500 g.;$3.900,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25599.jpg
almacen;09/05/2024, 12:46:22;Galletitas Rellenas Chocolate La Anónima x 97 g.;$ 2.700,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1207.jpg
almacen;09/05/2024, 12:46:22;Mermelada de Durazno  Arcor x 454 g.;$680,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000016000/16764.jpg
almacen;09/05/2024, 12:46:22;Nachos Sabor Queso Doritos x 77 g.;$ 399,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24652.jpg
almacen;09/05/2024, 12:46:22;Galletitas Surtidas Nuevo Mix 2023 Variedad x 590 g.;$670.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21994.jpg
almacen;09/05/2024, 12:46:22;Mini Tostaditas Queso Twistos x 100 g.;$ 499,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14388.jpg
almacen;09/05/2024, 12:46:22;Mayonesa Natura Doy Pack x 500 cc.;$1650.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2061.jpg
almacen;09/05/2024, 12:46:22;Fideos Tallarín Fort Favorita x 500 g.;$ 1.480,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8115.jpg
almacen;09/05/2024, 12:46:22;Mini Tostaditas Jamón Ibérico Twistos x 100 g.;$ 962,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14386.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Suave Doy Pack Dolca x 170 g.;$1.700,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25867.jpg
almacen;09/05/2024, 12:46:22;Aceite Girasol Legitimo x 1,5 Lt.;$ 1.150,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19263.jpg
