Producto;URL
Batata naranja Huella Natural x kg.;https://carrefourar.vtexassets.com/arquivos/ids/184366-170-170?v=637468592421270000&width=170&height=170&aspect=true
Ajo suelto x kg.;https://carrefourar.vtexassets.com/arquivos/ids/184402-170-170?v=637468592483200000&width=170&height=170&aspect=true
Tomate perita x kg.;https://carrefourar.vtexassets.com/arquivos/ids/184460-170-170?v=637468592590070000&width=170&height=170&aspect=true
Sandía x kg.;https://carrefourar.vtexassets.com/arquivos/ids/176877-170-170?v=637468574615900000&width=170&height=170&aspect=true
Lechuga morada kg.;https://carrefourar.vtexassets.com/arquivos/ids/184484-170-170?v=637468592634300000&width=170&height=170&aspect=true
Lechuga francesa hidropónica 220 g.;https://carrefourar.vtexassets.com/arquivos/ids/195470-170-170?v=637516045837900000&width=170&height=170&aspect=true
Lima taití x kg.;https://carrefourar.vtexassets.com/arquivos/ids/201750-170-170?v=637558429810600000&width=170&height=170&aspect=true
Maní tostado pelado sin sal x kg.;https://carrefourar.vtexassets.com/arquivos/ids/177043-170-170?v=637468575268970000&width=170&height=170&aspect=true
Snack manzana roja deshidratada Frutty 18 g.;https://carrefourar.vtexassets.com/arquivos/ids/416911-170-170?v=638355809505000000&width=170&height=170&aspect=true
Chaucha ballina x kg.;https://carrefourar.vtexassets.com/arquivos/ids/201745-170-170?v=637558429741730000&width=170&height=170&aspect=true
Chaucha rolliza x kg.;https://carrefourar.vtexassets.com/arquivos/ids/184495-170-170?v=637468592657130000&width=170&height=170&aspect=true
Limon organico 1 kg.;https://carrefourar.vtexassets.com/arquivos/ids/176854-170-170?v=637468574530900000&width=170&height=170&aspect=true
Ciruelas desecadas sin cáscara Presidente x 200 g.;https://carrefourar.vtexassets.com/arquivos/ids/255938-170-170?v=637986089320200000&width=170&height=170&aspect=true
Almendras peladas 50 g.;https://carrefourar.vtexassets.com/arquivos/ids/524285-170-170?v=638518054196630000&width=170&height=170&aspect=true
Pera roja x kg.;https://carrefourar.vtexassets.com/arquivos/ids/251634-170-170?v=637944446564730000&width=170&height=170&aspect=true
Mix de frutas secas 150 g;https://carrefourar.vtexassets.com/arquivos/ids/524284-170-170?v=638518053499400000&width=170&height=170&aspect=true
Almendras sin cáscara Blancalmen 100 g.;https://carrefourar.vtexassets.com/arquivos/ids/176910-170-170?v=637468574756300000&width=170&height=170&aspect=true
Nueces con cáscara 250 g.;https://carrefourar.vtexassets.com/arquivos/ids/177066-170-170?v=637468575349130000&width=170&height=170&aspect=true
Repollo orgánico x kg.;https://carrefourar.vtexassets.com/arquivos/ids/196471-170-170?v=637523687835070000&width=170&height=170&aspect=true
Chip de banana 100 g.;https://carrefourar.vtexassets.com/arquivos/ids/273412-170-170?v=638109660296630000&width=170&height=170&aspect=true
Nueces peladas El mercado 300 g.;https://carrefourar.vtexassets.com/arquivos/ids/426562-170-170?v=638386048711330000&width=170&height=170&aspect=true
Castañas de cajú 150 g.;https://carrefourar.vtexassets.com/arquivos/ids/177056-170-170?v=637468575316430000&width=170&height=170&aspect=true
Hongos shitake laminados Villares 25 g.;https://carrefourar.vtexassets.com/arquivos/ids/184267-170-170?v=637468592252500000&width=170&height=170&aspect=true
Mix supremo 50 g.;https://carrefourar.vtexassets.com/arquivos/ids/524287-170-170?v=638518055150700000&width=170&height=170&aspect=true
Tomates secos 70 g.;https://carrefourar.vtexassets.com/arquivos/ids/194214-170-170?v=637516040982000000&width=170&height=170&aspect=true
Almendras El Mercado 400 g.;https://carrefourar.vtexassets.com/arquivos/ids/426542-170-170?v=638386015719130000&width=170&height=170&aspect=true
Ají picante x kg.;https://carrefourar.vtexassets.com/arquivos/ids/184509-170-170?v=637468592685500000&width=170&height=170&aspect=true
Mix de frutas secas con nuez 100 g.;https://carrefourar.vtexassets.com/arquivos/ids/176915-170-170?v=637468574772230000&width=170&height=170&aspect=true
Albahaca hidropónica Vequa en cono;https://carrefourar.vtexassets.com/arquivos/ids/491895-170-170?v=638459347790870000&width=170&height=170&aspect=true
Castañas de cajú El mercado 350 g.;https://carrefourar.vtexassets.com/arquivos/ids/426544-170-170?v=638386025897100000&width=170&height=170&aspect=true
Castañas de caju saladas x kg.;https://carrefourar.vtexassets.com/arquivos/ids/177035-170-170?v=637468575239270000&width=170&height=170&aspect=true
Mix de frutos secos salados Beepure en frasco 190 g.;https://carrefourar.vtexassets.com/arquivos/ids/410392-170-170?v=638345481392800000&width=170&height=170&aspect=true
Ensalada mix verdes 300 g.;https://carrefourar.vtexassets.com/arquivos/ids/184607-170-170?v=637468592882830000&width=170&height=170&aspect=true
Mix frutos secos Grandiet proteínas 150 g.;https://carrefourar.vtexassets.com/arquivos/ids/176958-170-170?v=637468574925170000&width=170&height=170&aspect=true
Coco x kg.;https://carrefourar.vtexassets.com/arquivos/ids/201739-170-170?v=637558429662800000&width=170&height=170&aspect=true
Frutos secos Maní Mix Saladito 150 g.;https://carrefourar.vtexassets.com/arquivos/ids/524281-170-170?v=638518052156130000&width=170&height=170&aspect=true
Ensalada Rocky mezclum con cherry 300 g.;https://carrefourar.vtexassets.com/arquivos/ids/184571-170-170?v=637468592801200000&width=170&height=170&aspect=true
Mix de frutos secos supremo 150 g.;https://carrefourar.vtexassets.com/arquivos/ids/524280-170-170?v=638518051740070000&width=170&height=170&aspect=true
Pasas de uva con chocolate Los Carolinos 150 g.;https://carrefourar.vtexassets.com/arquivos/ids/176940-170-170?v=637468574865230000&width=170&height=170&aspect=true
Kale y remolacha 200 g.;https://carrefourar.vtexassets.com/arquivos/ids/184632-170-170?v=637468592935870000&width=170&height=170&aspect=true
Ensalada Rocky cuatro colores 250 g.;https://carrefourar.vtexassets.com/arquivos/ids/184580-170-170?v=637468592819670000&width=170&height=170&aspect=true
