Categoria;Producto;Precio;URL de la imagen;Fecha y hora;Página
limpieza/papeles;Papel Higienico Elite Doble Hoja Soft C/calg 4x30m;4119.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/787038-500-auto?v=638240818078470000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo De Cocina Sussex Clasico Megarollo 200p;2500.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/792038-500-auto?v=638294385794000000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo De Cocina Sussex Clasico Mas Blanco 3x50paños;2515.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/784233-500-auto?v=638218353841100000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Higienol Hoja Simple Max Aloe Panal 4x100m;5672.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/789213-500-auto?v=638261246600430000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Higienol Hoja Simple Max Aloe Panal 4x80m;5244.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/792042-500-auto?v=638294385814570000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo Cocina Home Care Doble Hoja 1x200 Paños;2250.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/636067-500-auto?v=637535808890870000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Higienol Doble Hoja Fusion 4x30m;3700.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/813374-500-auto?v=638441481925500000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Higienol Doble Hoja Balance 4x30m;3800.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/813373-500-auto?v=638441481921870000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Elegante Simple Hoja 4x80m;3835.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/809029-500-auto?v=638430898885970000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Elite Ultra Doble Hoja Soft T C/alg 4x50m;7450.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/798830-500-auto?v=638343636291700000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo De Cocina Sussex Ultra 3x100p;4350.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/786893-500-auto?v=638239953923400000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Family Car Doble Hoja 4x30m;2800.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/625965-500-auto?v=637533676843670000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo Cocina Home Care Doble Hoja 3x50 Paños;1950.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/625969-500-auto?v=637533676854700000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Higienol Hoja Simple Fresh Aloe 4x30m;2400.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/800947-500-auto?v=638364477816570000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Pañuelos Descartables Faciales Elite Box Soft Touch X90 Pañuelos;1650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/792041-500-auto?v=638294385809600000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Elegante Simple Hoja Aloe Vera 6x30m;3600.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/809028-500-auto?v=638430898882400000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo Cocina Home Care Doble Hoja 3x100 Paños;3150.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/625968-500-auto?v=637533676850930000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Papel Higienico Higienol Doble Hoja Duo Aloe Panal 4x50m;7650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/808239-500-auto?v=638417938973230000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Rollo Cocina Elegante Doble Hoja 3x120 Paños;3282.5;https://jumboargentinaio.vtexassets.com/arquivos/ids/809042-500-auto?v=638430898934300000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1
limpieza/papeles;Servilletas Blancas 140u Home Care;1750.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/600891-500-auto?v=637348307459870000&width=500&height=auto&aspect=true;29/05/2024, 01:00:28;1

limpieza/papeles;Papel Higiénico Campanita Hoja Simple 4 U;3650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/703062-500-auto?v=637891329639070000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Papel Higienico Elegante Simple Hoja Aloe Vera 12x30m;4517.5;https://jumboargentinaio.vtexassets.com/arquivos/ids/809033-500-auto?v=638430898900700000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Rollo De Cocina Elegante 3 U;2650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/809026-500-auto?v=638430898874900000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Pañuelos Descartables Elite Con Algodon X6 Packs De 10 Pañuelos/35;2050.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/814209-500-auto?v=638452498425770000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Servilletas Sussex Clasica Hoja Simple 30x30 Blanca X80;1650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/785450-500-auto?v=638224401975900000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Servilletas Elite Ultra Suave X100;2050.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/792043-500-auto?v=638294385817530000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Papel Higienico Elite Hoja Simple Clásico C/algodón 6x30m;3500.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/791992-500-auto?v=638292578917500000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Rollo De Cocina  Campanita Practirrollo Por X 1unidad De 200 Paños. - Bsa-200-un. - Sin Atributo;2650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/617351-500-auto?v=637437282864300000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Papel Higienico Family Care Simple Hoja 4x30m;1700.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/625966-500-auto?v=637533676845830000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Papel Higienico Elite Hoja Simple Clásico C/algodon 4x 80m;5350.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/801092-500-auto?v=638367933627800000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Rollo Cocina Elegante Doble Hoja Gigante 1x200 Paños;1625.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/809037-500-auto?v=638430898914000000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Servilletas Elite Ultra Suave X200;4400.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/808238-500-auto?v=638417938969700000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
