Categoria,Producto,Precio,URL de la imagen,fecha_hora
Almacen,Galletitas ópera Agrupadas 220 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/624009-500-auto?v=637502527403100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Almacen,Pan Blanco Artesano Bimbo 500 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/799937-500-auto?v=638349573976600000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Almacen,Cafe Molido La Morenita 500 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/646160-500-auto?v=637582880104030000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Almacen,Atun En Aceite La Campagnola 170 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/703708-500-auto?v=637895325882100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Carnes,Suprema De Pollo Granel Congelada.,$6.399,https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Cuarto Trasero De Pollo Granel Fresco,$2.729,https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Carre De Cerdo Con Hueso Fresco,"$3.479,25",https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Carne Vacuna Picada Enfriada E,$5.825,https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Carne Vacuna Picada Enfriada C,$3.299,https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Milanesa Nalga,$7.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Pechito De Cerdo Fresco,"$3.738,75",https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Picada Premium,$8.445,https://jumboargentinaio.vtexassets.com/arquivos/ids/672124-500-auto?v=637703409932000000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
bebidas,Gaseosa Pepsi  Black 1.5lt,"$1.004,25",https://jumboargentinaio.vtexassets.com/arquivos/ids/769354-500-auto?v=638120073786470000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,"Coca-cola Zero 1,75 Lt","$1.837,5",https://jumboargentinaio.vtexassets.com/arquivos/ids/799927-500-auto?v=638349573931070000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
