Categoria;Producto;Precio;URL de la imagen;Fecha y hora;Página;Supermercado
Almacen/Pastas-secas;Fideos tallarin N5 Lucchetti 500 g.;1029.0;https://carrefourar.vtexassets.com/arquivos/ids/370666-170-170?v=638297065488670000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos tirabuzon N34 Lucchetti 500 g.;1019.0;https://carrefourar.vtexassets.com/arquivos/ids/370663-170-170?v=638297065465000000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos mostacholes N51 Lucchetti rayado 500 g.;1020.0;https://carrefourar.vtexassets.com/arquivos/ids/370667-170-170?v=638297065496300000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos tallarines Don Vicente en bolsa 500 g.;1880.0;https://carrefourar.vtexassets.com/arquivos/ids/410615-170-170?v=638346391980600000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos tirabuzon Matarazzo 3 vegetales 500 g.;1680.0;https://carrefourar.vtexassets.com/arquivos/ids/370656-170-170?v=638297065402300000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos guiseros moño Carrefour classic 500 g.;1355.9;https://carrefourar.vtexassets.com/arquivos/ids/370692-170-170?v=638297065695970000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos tirabuzones Carrefour classic 500 g.;1490.0;https://carrefourar.vtexassets.com/arquivos/ids/386712-170-170?v=638318705647300000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos cinta fetuccini Don vicente 500 g.;1050.0;https://carrefourar.vtexassets.com/arquivos/ids/408427-170-170?v=638343782859730000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos municiones Terrabusi 500 g.;2019.0;https://carrefourar.vtexassets.com/arquivos/ids/175359-170-170?v=637468569707000000&width=170&height=170&aspect=true;29/05/2024, 20:36:28;1;Carrefour
Almacen/Pastas-secas;Fideos tirabuzones N28 Matarazzo 500 g.;1400.0;https://carrefourar.vtexassets.com/arquivos/ids/408416-170-170?v=638343782741970000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Pastas-secas;Fideos tallarin Don bernabeu 500 g.;650.0;https://carrefourar.vtexassets.com/arquivos/ids/452972-170-170?v=638406850485030000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Pastas-secas;Fideos tallarines N7 Terrabusi 500 g.;975.0;https://carrefourar.vtexassets.com/arquivos/ids/408425-170-170?v=638343782838200000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Pastas-secas;Fideos spaghetti Matarazzo 500 g.;1400.0;https://carrefourar.vtexassets.com/arquivos/ids/178736-170-170?v=637468580133770000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Pastas-secas;Fideos coditos Terrabusi 500 g.;975.0;https://carrefourar.vtexassets.com/arquivos/ids/370655-170-170?v=638297065393900000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Pastas-secas;Fideos tirabuzones Favorita fortificado 500 g.;590.0;https://carrefourar.vtexassets.com/arquivos/ids/175107-170-170?v=637468568511800000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Pastas-secas;Fideos spaghetti La Providencia 500 g.;800.0;https://carrefourar.vtexassets.com/arquivos/ids/178861-170-170?v=637468580592100000&width=170&height=170&aspect=true;29/05/2024, 20:36:53;2;Carrefour
Almacen/Aceites-y-vinagres;Aceite de girasol Cocinero ecobotella 900 cc.;1099.0;https://carrefourar.vtexassets.com/arquivos/ids/422953-170-170?v=638373948257230000&width=170&height=170&aspect=true;29/05/2024, 20:36:25;1;Carrefour
Almacen/Aceites-y-vinagres;Aceite de girasol Carrefour alto omega pet 900 cc.;1395.0;https://carrefourar.vtexassets.com/arquivos/ids/246133-170-170?v=637901365090430000&width=170&height=170&aspect=true;29/05/2024, 20:36:25;1;Carrefour
Almacen/Aceites-y-vinagres;Aceite de girasol Lira 900 cc.;1550.0;https://carrefourar.vtexassets.com/arquivos/ids/155427-170-170?v=637457062428630000&width=170&height=170&aspect=true;29/05/2024, 20:36:25;1;Carrefour
Almacen/Aceites-y-vinagres;Aceite de girasol alto omega Carrefour pet 1.5 l.;1675.0;https://carrefourar.vtexassets.com/arquivos/ids/233079-170-170?v=637775194742900000&width=170&height=170&aspect=true;29/05/2024, 20:36:25;1;Carrefour
