Supermercado;Producto;NombreNormalizado;Precio;URL de la imagen
Carrefour;Papa x kg.;Papa;549.0;https://carrefourar.vtexassets.com/arquivos/ids/184405-170-170?v=637468592488970000&width=170&height=170&aspect=true
Carrefour;Zapallo anco x kg.;Zapallo;799.0;https://carrefourar.vtexassets.com/arquivos/ids/196194-170-170?v=637522913582200000&width=170&height=170&aspect=true
Carrefour;Banana seleccion x kg.;Banana;329.0;https://carrefourar.vtexassets.com/arquivos/ids/490488-170-170?v=638453427125500000&width=170&height=170&aspect=true
Carrefour;Cebolla x kg.;Cebolla;499.0;https://carrefourar.vtexassets.com/arquivos/ids/196196-170-170?v=637522913600430000&width=170&height=170&aspect=true
Carrefour;Zanahoria precios cuidados x kg.;Zanahoria;879.0;https://carrefourar.vtexassets.com/arquivos/ids/204815-170-170?v=637601374832230000&width=170&height=170&aspect=true
Carrefour;Mandarina x kg.;Mandarina;1999.0;https://carrefourar.vtexassets.com/arquivos/ids/176863-170-170?v=637468574560630000&width=170&height=170&aspect=true
Carrefour;Batata x kg.;Batata;1390.0;https://carrefourar.vtexassets.com/arquivos/ids/184392-170-170?v=637468592466100000&width=170&height=170&aspect=true
Carrefour;Banana Nacional x kg.;Banana;899.0;https://carrefourar.vtexassets.com/arquivos/ids/266161-170-170?v=638052387755200000&width=170&height=170&aspect=true
Carrefour;Cebolla x kg;Cebolla;799.0;https://carrefourar.vtexassets.com/arquivos/ids/366422-170-170?v=638273745190400000&width=170&height=170&aspect=true
Carrefour;Manzana roja x kg.;Manzana;1249.0;https://carrefourar.vtexassets.com/arquivos/ids/176841-170-170?v=637468574501200000&width=170&height=170&aspect=true
Carrefour;Uva rosada x kg.;Uva;2999.0;https://carrefourar.vtexassets.com/arquivos/ids/176878-170-170?v=637468574621200000&width=170&height=170&aspect=true
Carrefour;Naranja de jugo x kg.;Naranja;999.0;https://carrefourar.vtexassets.com/arquivos/ids/176842-170-170?v=637468574507300000&width=170&height=170&aspect=true
Carrefour;Acelga x paquete;Acelga;1890.0;https://carrefourar.vtexassets.com/arquivos/ids/196198-170-170?v=637522913612970000&width=170&height=170&aspect=true
Carrefour;Cebolla morada x kg.;Cebolla;949.0;https://carrefourar.vtexassets.com/arquivos/ids/201747-170-170?v=637558429772100000&width=170&height=170&aspect=true
Carrefour;Lechuga Capuchina x kg.;Lechuga;1799.0;https://carrefourar.vtexassets.com/arquivos/ids/184472-170-170?v=637468592611200000&width=170&height=170&aspect=true
Carrefour;Sandía x kg.;Sandía;1449.0;https://carrefourar.vtexassets.com/arquivos/ids/176877-170-170?v=637468574615900000&width=170&height=170&aspect=true
Carrefour;Limón Huella Natural x kg.;Limón;1799.0;https://carrefourar.vtexassets.com/arquivos/ids/184369-170-170?v=637468592427700000&width=170&height=170&aspect=true
Carrefour;Espinaca Lucchetti en bolsa 400 g.;Espinaca;1275.0;https://carrefourar.vtexassets.com/arquivos/ids/333974-170-170?v=638216731048430000&width=170&height=170&aspect=true
Carrefour;Brócoli congelado Granja del sol 400 g.;Brócoli;1700.0;https://carrefourar.vtexassets.com/arquivos/ids/477010-170-170?v=638440341971330000&width=170&height=170&aspect=true
Carrefour;acelga Lucchetti en bolsa 450 g.;acelga;2405.0;https://carrefourar.vtexassets.com/arquivos/ids/345666-170-170?v=638229523086270000&width=170&height=170&aspect=true
Carrefour;Choclo amarillo Green life 350 g.;Choclo;1286.25;https://carrefourar.vtexassets.com/arquivos/ids/445306-170-170?v=638403368236800000&width=170&height=170&aspect=true
Carrefour;Espinaca congelada Granja del sol 500 g.;Espinaca;1715.0;https://carrefourar.vtexassets.com/arquivos/ids/328151-170-170?v=638204601147200000&width=170&height=170&aspect=true
Carrefour;Choclo congelado Granja Del Sol 300 g.;Choclo;1819.0;https://carrefourar.vtexassets.com/arquivos/ids/196175-170-170?v=637522913438500000&width=170&height=170&aspect=true
Carrefour;Espinaca congelada Granja del sol en bolsa 1 kg.;Espinaca;2450.0;https://carrefourar.vtexassets.com/arquivos/ids/328152-170-170?v=638204601155930000&width=170&height=170&aspect=true
Carrefour;Acelga congelada Granja de sol en bolsa 500 g.;Acelga;1815.0;https://carrefourar.vtexassets.com/arquivos/ids/328153-170-170?v=638204601164400000&width=170&height=170&aspect=true
Carrefour;Pomelo rojo premium x kg.;Pomelo;1349.0;https://carrefourar.vtexassets.com/arquivos/ids/205551-170-170?v=637606591779900000&width=170&height=170&aspect=true
Carrefour;Berenjena negra x kg.;Berenjena;3999.0;https://carrefourar.vtexassets.com/arquivos/ids/184455-170-170?v=637468592576600000&width=170&height=170&aspect=true
Carrefour;Papa cepillada x kg.;Papa;1599.0;https://carrefourar.vtexassets.com/arquivos/ids/184447-170-170?v=637468592562400000&width=170&height=170&aspect=true
Carrefour;Papa Huella Natural x kg.;Papa;1290.0;https://carrefourar.vtexassets.com/arquivos/ids/492786-170-170?v=638464768160000000&width=170&height=170&aspect=true
Carrefour;Maní pelado tostado y salado El mercado 500 g.;Maní;3390.0;https://carrefourar.vtexassets.com/arquivos/ids/426559-170-170?v=638386040903770000&width=170&height=170&aspect=true
Carrefour;Mango x uni;Mango;1799.0;https://carrefourar.vtexassets.com/arquivos/ids/248356-170-170?v=637915978879430000&width=170&height=170&aspect=true
Carrefour;Akusay x kg.;Akusay;3499.0;https://carrefourar.vtexassets.com/arquivos/ids/184720-170-170?v=637468593142270000&width=170&height=170&aspect=true
Carrefour;Ciruelas desecadas sin cáscara Presidente x 200 g.;Ciruelas;2599.0;https://carrefourar.vtexassets.com/arquivos/ids/255938-170-170?v=637986089320200000&width=170&height=170&aspect=true
Carrefour;Pera roja x kg.;Pera;1290.0;https://carrefourar.vtexassets.com/arquivos/ids/251634-170-170?v=637944446564730000&width=170&height=170&aspect=true
Carrefour;Champignones y portobellos mix Porto 180 g.;Champignones;2290.0;https://carrefourar.vtexassets.com/arquivos/ids/184292-170-170?v=637468592281670000&width=170&height=170&aspect=true
