Categoria,Producto,Precio,URL de la imagen,Fecha_hora
almacen,Pizza con Mozzarella y Jamón sin Tacc Keila x 360 g.,"$ 6.550,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19871.jpg,"09/05/2024, 12:46:22"
almacen,Atún al Natural en Lomitos La Anónima x 160 g.,"$ 4.912,50",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/824.jpg,"09/05/2024, 12:46:22"
almacen,Galletitas con chips x 3 Un. Pepitos x 357 g.,"$2.600,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21993.jpg,"09/05/2024, 12:46:22"
almacen,Yerba Mate c/Palo 4Flex Mañanita x 1 Kg.,"$ 1.749,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11726.jpg,"09/05/2024, 12:46:22"
almacen,Azúcar Blanco Refinado Superior  Ledesma x 1 Kg.,"$3.800,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000016000/16240.jpg,"09/05/2024, 12:46:22"
almacen,Galletitas Surtidas Bagley x 400 g.,"$ 3.320,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27517.jpg,"09/05/2024, 12:46:22"
almacen,Aceite de Girasol La Anónima x 900 cc.,"$ 2.158,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1677.jpg,"09/05/2024, 12:46:22"
almacen,Harina 0000 Fortivac x 1 Kg.,"$5.950,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000017000/17612.jpg,"09/05/2024, 12:46:22"
almacen,Atún en Aceite y Agua en Lomitos La Anónima x 160 g.,"$ 4.500,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4943.jpg,"09/05/2024, 12:46:22"
almacen,Caldo de Verduras con Vegetales Knorr x 114 g.,"$ 3.600,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27509.jpg,"09/05/2024, 12:46:22"
almacen,"Azucar Comun ""A"" Ancaste x 1 Kg.",$1650.00,https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26975.jpg,"09/05/2024, 12:46:22"
almacen,Tomate Perita Entero La Anónima x 400 g.,"$ 1.199,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25228.jpg,"09/05/2024, 12:46:22"
almacen,Galletitas Dulces Rellenas con Crema Oreo 354g,$1750.00,https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21989.jpg,"09/05/2024, 12:46:22"
almacen,Arvejas Secas Remojadas Inca x 350 g.,"$ 1.580,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2193.jpg,"09/05/2024, 12:46:22"
almacen,Paté de Foie Swift x 90 g.,"$ 1.185,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2091.jpg,"09/05/2024, 12:46:22"
almacen,Galletitas con Mouse Milka Chocolate x 116 g.,"$1.850,00",https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000005000/5702.jpg,"09/05/2024, 12:46:22"
