Categoria,Producto,Precio,URL de la imagen,Fecha_hora
almacen,Lomitos de atún Carrefour classic al natural 170 g.,"$ 1.791,00",https://carrefourar.vtexassets.com/arquivos/ids/386717-170-170?v=638318705666830000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Puré de tomate Carrefour classic 520 g.,"$ 1.990,00",https://carrefourar.vtexassets.com/arquivos/ids/386694-170-170?v=638318705570400000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Mayonesa Natura 475 g.,"$ 699,00",https://carrefourar.vtexassets.com/arquivos/ids/359574-170-170?v=638258195873930000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Aceite de girasol Carrefour alto omega pet 900 cc.,"$ 1.280,00",https://carrefourar.vtexassets.com/arquivos/ids/246133-170-170?v=637901365090430000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Sal fina Celusal paquete 500 g.,"$ 1.395,00",https://carrefourar.vtexassets.com/arquivos/ids/196629-170-170?v=637523688684930000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Fideos tallarin N5 Lucchetti 500 g.,"$ 1.550,00",https://carrefourar.vtexassets.com/arquivos/ids/370666-170-170?v=638297065488670000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Fideos mostacholes N51 Lucchetti rayado 500 g.,"$ 885,00",https://carrefourar.vtexassets.com/arquivos/ids/370667-170-170?v=638297065496300000&width=170&height=170&aspect=true,"09/05/2024, 16:33:46"
almacen,Aceite de girasol Cocinero ecobotella 900 cc.,"$ 885,00",https://carrefourar.vtexassets.com/arquivos/ids/422953-170-170?v=638373948257230000&width=170&height=170&aspect=true,"09/05/2024, 16:33:51"
almacen,Mayonesa Hellmann's regular doy pack 475 g.,"$ 1.095,00",https://carrefourar.vtexassets.com/arquivos/ids/380063-170-170?v=638314418401800000&width=170&height=170&aspect=true,"09/05/2024, 16:33:51"
almacen,Arroz tipo largo fino 00000 Vanguardia 500 g.,"$ 771,75",https://carrefourar.vtexassets.com/arquivos/ids/218649-170-170?v=637702639116070000&width=170&height=170&aspect=true,"09/05/2024, 16:33:51"
almacen,Fideos tallarines Don Vicente en bolsa 500 g.,"$ 1.029,00",https://carrefourar.vtexassets.com/arquivos/ids/410615-170-170?v=638346391980600000&width=170&height=170&aspect=true,"09/05/2024, 16:33:51"
Bazar-y-textil,Adhesivo sintético Voligoma 2 u x 30 cc.,"$ 1.985,00",https://carrefourar.vtexassets.com/arquivos/ids/163703-170-170?v=637467708617900000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
Bazar-y-textil,Lápiz corrector Simball 7 cc 1 u.,"$ 990,00",https://carrefourar.vtexassets.com/arquivos/ids/165104-170-170?v=637467717631570000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
Bazar-y-textil,Goma de borrar Maped technic 300 2 u.,"$ 989,00",https://carrefourar.vtexassets.com/arquivos/ids/164811-170-170?v=637467714941270000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
Bazar-y-textil,Repuesto escolar n3 América rayado 400 hojas,"$ 8.990,00",https://carrefourar.vtexassets.com/arquivos/ids/271972-170-170?v=638096634010570000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
Bazar-y-textil,Sacapuntas Maped boogy 3 u.,"$ 885,00",https://carrefourar.vtexassets.com/arquivos/ids/163503-170-170?v=637467707695300000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
Bazar-y-textil,Resma a4 70 g. Pampa 500 hojas,"$ 6.789,00",https://carrefourar.vtexassets.com/arquivos/ids/238124-170-170?v=637830527227500000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
Bazar-y-textil,Lapicera retráctil Paper Mate KM 100 azul 3 u.,"$ 1.139,00",https://carrefourar.vtexassets.com/arquivos/ids/163689-170-170?v=637467708552630000&width=170&height=170&aspect=true,"09/05/2024, 17:01:58"
