Supermercado,Producto,Precio
Carrefour,Ajo suelto x kg.,"$ 7.690,00"
Carrefour,Tomate perita x kg.,"$ 5.499,00"
Carrefour,Sandía x kg.,"$ 2.499,00"
Carrefour,Rúcula x 1 atado,"$ 699,00"
Carrefour,Acelga x paquete,"$ 1.189,00"
Carrefour,Cebolla morada x kg.,"$ 1.799,00"
Carrefour,Lechuga morada kg.,"$ 5.599,00"
Carrefour,Lechuga francesa hidropónica 220 g.,"$ 1.899,00"
Carrefour,Lima taití x kg.,"$ 2.999,00"
Carrefour,Maní tostado pelado sin sal x kg.,"$ 5.290,00"
Carrefour,Snack manzana roja deshidratada Frutty 18 g.,"$ 535,00"
Carrefour,Chaucha ballina x kg.,"$ 4.999,00"
Carrefour,Chaucha rolliza x kg.,"$ 4.999,00"
Carrefour,Limon organico 1 kg.,"$ 1.199,00"
Carrefour,Ciruelas desecadas sin cáscara Presidente x 200 g.,"$ 1.290,00"
Carrefour,Almendras peladas 50 g.,"$ 1.800,00"
Carrefour,Pera roja x kg.,"$ 2.290,00"
Carrefour,Ciruelas desecadas sin carozos 200 g.,"$ 1.500,00"
Carrefour,Maní japonés x kg.,"$ 5.190,00"
Carrefour,Piña comercial x kg.,"$ 1.799,00"
Carrefour,Mix de frutas secas 150 g,"$ 2.660,00"
Carrefour,Almendras sin cáscara Blancalmen 100 g.,"$ 2.890,00"
Carrefour,Nueces con cáscara 250 g.,"$ 2.450,00"
Carrefour,Repollo orgánico x kg.,"$ 1.499,00"
Carrefour,Chip de banana 100 g.,"$ 1.990,00"
Carrefour,Nueces peladas El mercado 300 g.,"$ 8.990,00"
Carrefour,Castañas de cajú 150 g.,"$ 4.690,00"
Carrefour,Hongos shitake laminados Villares 25 g.,"$ 1.690,00"
Carrefour,Mix supremo 50 g.,"$ 1.450,00"
Carrefour,Tomates secos 70 g.,"$ 2.229,00"
Carrefour,Almendras El Mercado 400 g.,"$ 11.900,00"
Carrefour,Ají picante x kg.,"$ 3.999,00"
Carrefour,Mix de frutas secas con nuez 100 g.,"$ 1.690,00"
Carrefour,Albahaca hidropónica Vequa en cono,"$ 1.549,00"
Carrefour,Castañas de cajú El mercado 350 g.,"$ 11.900,00"
Carrefour,Castañas de caju saladas x kg.,"$ 26.990,00"
Carrefour,Mix de frutos secos salados Beepure en frasco 190 g.,"$ 4.539,00"
Carrefour,Ensalada mix verdes 300 g.,"$ 3.799,00"
Carrefour,Mix frutos secos Grandiet proteínas 150 g.,"$ 3.590,00"
Carrefour,Coco x kg.,"$ 2.999,00"
Carrefour,Frutos secos Maní Mix Saladito 150 g.,"$ 1.990,00"
Carrefour,Ensalada Rocky mezclum con cherry 300 g.,"$ 2.999,00"
Carrefour,Mix de frutos secos supremo 150 g.,"$ 4.500,00"
Carrefour,Pasas de uva con chocolate Los Carolinos 150 g.,"$ 2.990,00"
Carrefour,Kale y remolacha 200 g.,"$ 2.699,00"
Carrefour,Ensalada Rocky cuatro colores 250 g.,"$ 2.999,00"
Carrefour,Ensalada vegetariana 180 g.,"$ 4.099,00"
Carrefour,Mix europa 500 g.,"$ 8.990,00"
Carrefour,Batata naranja Huella Natural x kg.,"$ 1.100,00"
Carrefour,Ajo suelto x kg.,"$ 7.690,00"
Carrefour,Tomate perita x kg.,"$ 5.499,00"
Carrefour,Sandía x kg.,"$ 2.499,00"
Carrefour,Naranja de jugo x kg.,"$ 999,00"
Carrefour,Rúcula x 1 atado,"$ 1.890,00"
Carrefour,Acelga x paquete,"$ 699,00"
Carrefour,Cebolla morada x kg.,"$ 1.189,00"
Carrefour,Berenjena negra x kg.,"$ 1.799,00"
Carrefour,Lechuga Capuchina x kg.,"$ 3.499,00"
Carrefour,Lechuga morada kg.,"$ 5.599,00"
Carrefour,Lechuga francesa hidropónica 220 g.,"$ 1.899,00"
Carrefour,Lima taití x kg.,"$ 2.999,00"
Carrefour,Maní tostado pelado sin sal x kg.,"$ 5.290,00"
Carrefour,Almendras 135 g.,"$ 4.990,00"
Carrefour,Snack manzana roja deshidratada Frutty 18 g.,"$ 535,00"
Carrefour,Chaucha ballina x kg.,"$ 4.999,00"
Carrefour,Chaucha rolliza x kg.,"$ 4.999,00"
Carrefour,Pasas de uva 170 g.,"$ 1.890,00"
Carrefour,Mandioca x kg,"$ 1.400,00"
Carrefour,Limon organico 1 kg.,"$ 1.199,00"
Carrefour,Ciruelas desecadas sin cáscara Presidente x 200 g.,"$ 1.290,00"
Carrefour,Almendras peladas 50 g.,"$ 1.800,00"
Carrefour,Pera roja x kg.,"$ 2.290,00"
Carrefour,Champignones y portobellos mix Porto 180 g.,"$ 2.099,00"
Carrefour,Ciruelas desecadas sin carozos 200 g.,"$ 2.499,00"
Carrefour,Maní japonés x kg.,"$ 1.500,00"
Carrefour,Piña comercial x kg.,"$ 5.190,00"
Carrefour,Tomate seco 100 g.,"$ 1.799,00"
Carrefour,Plátano x kg.,"$ 3.290,00"
Carrefour,Mix de frutas secas 150 g,"$ 2.660,00"
Carrefour,Almendras sin cáscara Blancalmen 100 g.,"$ 2.890,00"
Carrefour,Nueces con cáscara 250 g.,"$ 2.450,00"
Carrefour,Repollo orgánico x kg.,"$ 1.499,00"
Carrefour,Chip de banana 100 g.,"$ 1.990,00"
Carrefour,Nueces peladas El mercado 300 g.,"$ 8.990,00"
Carrefour,Castañas de cajú 150 g.,"$ 4.690,00"
Carrefour,Hongos shitake laminados Villares 25 g.,"$ 1.690,00"
Carrefour,Pasas de uva Pasablanca 150 g.,"$ 1.390,00"
Carrefour,Mix de lechugas Huella Natural 300 g.,"$ 3.399,00"
Carrefour,Mix supremo 50 g.,"$ 1.450,00"
Carrefour,Tomates secos 70 g.,"$ 2.229,00"
Carrefour,Almendras El Mercado 400 g.,"$ 11.900,00"
Carrefour,Ají picante x kg.,"$ 3.999,00"
Carrefour,Mix de frutas secas con nuez 100 g.,"$ 1.690,00"
Carrefour,Albahaca hidropónica Vequa en cono,"$ 1.549,00"
Carrefour,Castañas de cajú El mercado 350 g.,"$ 11.900,00"
Carrefour,Castañas de caju saladas x kg.,"$ 26.990,00"
Carrefour,Palta (Kg),$9990.00
La Anonima,Zapallo Anco (Kg),"$ 6.249,00"
La Anonima,Pomelo (Kg),"$ 4.999,20"
La Anonima,Remolacha S/Hoja (Kg),"$730,00"
La Anonima,Zapallo Criollo (Kg),"$ 599,00"
La Anonima,Repollo Blanco (Kg),"$2.500,00"
La Anonima,Repollo Colorado (Kg),"$ 2.290,00"
La Anonima,Ajo Granel (Kg),"$3.350,00"
La Anonima,Sandía (Kg),"$ 2.990,00"
La Anonima,Albahaca x unidad,"$860,00"
La Anonima,Apio Envasado x 300 g.,"$ 759,00"
La Anonima,Berenjena Variedades (Kg),"$1.800,00"
La Anonima,Ajo En Bolsita (Kg),"$ 1.590,00"
La Anonima,Zapallo Anco Fraccionado (Kg),"$2.100,00"
La Anonima,Soja (Kg),"$ 1.890,00"
La Anonima,Higos Desecados Conosur x 200 g.,"$10.250,00"
La Anonima,Hinojo (Kg),"$ 7.990,00"
La Anonima,Zapallo Anco en Rodajas (Kg),"$3.350,00"
La Anonima,Escarola Envasada x 300 g.,"$ 2.990,00"
La Anonima,Papa Granel (Kg),"$1.850,00"
La Anonima,Banana Ecuador (Kg),"$ 1.490,00"
La Anonima,Cebolla (Kg),"$2.900,00"
La Anonima,Zanahoria (Kg),"$ 2.590,00"
La Anonima,Mandarina (Kg),$2390.00
La Anonima,Manzana Red Bolsita (Kg),"$ 1.690,00"
La Anonima,Zapallito Redondo (Kg),"$10.900,00"
La Anonima,Pera (Kg),"$ 8.690,00"
La Anonima,Limón (Kg),"$860,00"
La Anonima,Naranja (Kg),"$ 689,15"
La Anonima,Zapallo Ingles (Kg),"$4.600,00"
La Anonima,Tomate Redondo (Kg),"$ 3.990,00"
La Anonima,Batata (Kg),"$7.850,00"
La Anonima,Zanahoria Comercial Bolsita (Kg),"$ 3.790,00"
La Anonima,Manzana Red Elegida (Kg),"$3.400,00"
La Anonima,Berenjena (Kg),"$ 2.990,00"
La Anonima,Batata Boniato (Kg),"$990,00"
La Anonima,Rúcula Envasada x 70 gr,"$ 792,82"
La Anonima,Papa Bolsita Elegida (Kg),"$2.450,00"
La Anonima,Choclo sin chala Envasado x 530 gr,"$ 2.290,00"
La Anonima,Lechuga Hidropónica x unidad,"$ 1.399,00"
La Anonima,Acelga Envasada x 500 gr,"$ 1.119,20"
La Anonima,Papa Comercial Bolsita (Kg),"$ 1.990,00"
La Anonima,Zapallo Anco Comercial Bolsita (Kg),"$ 1.624,00"
La Anonima,Morrón Colorado (Kg),"$ 1.299,20"
La Anonima,Uvas (Kg),"$ 1.190,00"
La Anonima,Manzana Grany Elegida (Kg),"$ 1.890,00"
La Anonima,Lechuga Francesa Envasada x 250 gr,$1990.00
La Anonima,Lechuga Capuchina Envasada x 350 gr,"$ 1.590,00"
La Anonima,Champignon Portobello Bandeja x 200 gr,"$ 2.290,00"
La Anonima,Cebolla de Verdeo Envasada x 250 g.,"$ 1.624,00"
La Anonima,Espinaca Envasada X Unidad x 400 gr,"$ 1.299,20"
La Anonima,Kiwi (Kg),"$ 990,00"
La Anonima,Champignon Bandeja x 200 gr,$2990.00
La Anonima,Morrón Verde (Kg),"$ 2.690,00"
La Anonima,Lechuga Mantecosa Envasada x 200 gr,"$ 699,00"
La Anonima,Pepino (Kg),"$ 559,20"
La Anonima,Girasol Tostado sin Sal x 200 gr,"$ 4.890,00"
La Anonima,Girasol Tostado Salado x 200 gr,"$ 1.290,00"
La Anonima,Cebolla Roja (Kg),"$ 999,00"
La Anonima,Zapallito Largo (Kg),"$ 2.990,00"
La Anonima,Perejil Envasado x 100 gr,"$ 1.690,00"
La Anonima,Melón (Kg),"$ 1.590,00"
La Anonima,Cebolla Comercial Bolsita (Kg),"$ 1.590,00"
La Anonima,Manzana Grany Comercial Bolsita (Kg),"$ 1.490,00"
La Anonima,Brócoli (Kg),"$ 3.590,00"
La Anonima,Penca de Acelga x 300 g.,"$ 1.690,00"
La Anonima,Maní Tostado Con Cascara (Kg),$2749.00
La Anonima,Ensalada Coleslaw x 250 g.,"$ 2.499,00"
La Anonima,Coliflor (Kg),"$ 1.190,00"
La Anonima,Rabanito Envasado x 200 gr,"$ 569,00"
La Anonima,Zanahoria Baby envasada x 250 gr,"$ 6.590,00"
La Anonima,Perejil X Atado x 1 Un.,"$ 3.990,00"
La Anonima,Semilla de Chía El Peoncito x 175 g.,"$ 2.990,00"
La Anonima,Vegetales para Sopa O Guarnición Mic Rie La Huerta x 400 g.,"$ 3.990,00"
La Anonima,Vegetales para Wok Rie La Huerta x 370 g.,"$ 2.990,00"
La Anonima,Semillas de Lino For Good x 150 g.,"$ 2.490,00"
La Anonima,Semilla de Girasol Pelado El Peoncito x 175 g.,"$ 1.990,00"
La Anonima,Jengibre (Kg),"$ 2.890,00"
La Anonima,Zanahoria Rallada Rie La Huerta x 250 g.,$7999.00
La Anonima,Semilla de Sésamo Integral El Peoncito x 175 g.,"$ 6.249,00"
La Anonima,Cebolla Blanca (Kg),"$ 4.999,20"
La Anonima,Pasas de Uva Negras El Peoncito x 250 g.,"$ 2.490,00"
La Anonima,Cilantro Envasado x 70 gr,"$ 4.990,00"
La Anonima,Ciruela (Kg),"$ 3.990,00"
La Anonima,Tomate Cherry (Kg),"$ 2.590,00"
La Anonima,Nueces Peladas El Peoncito Bolsa x 100 g.,"$ 799,00"
La Anonima,Tomates Secos El Peoncito x 100 g.,"$ 799,00"
La Anonima,Tomate Perita (Kg),"$ 2.290,00"
La Anonima,Morrón Variedades (Kg),"$ 2.590,00"
La Anonima,Mango (Kg),"$ 1.390,00"
La Anonima,Lechuga Morada Envasada x 1 Un.,"$ 1.990,00"
La Anonima,Pasas de Uva Sultanina Negras El Peoncito x 100 g.,"$ 1.099,00"
La Anonima,Maní Frito con Piel Maní King x 500 g.,"$ 1.990,00"
La Anonima,Quinoa El Peoncito x 175 g.,"$ 4.690,00"
La Anonima,Lechuga Capuchina (Kg),"$ 899,00"
La Anonima,Maní Honey Roasted Spicy Dec Alimentos x 220 g.,"$ 4.990,00"
La Anonima,Mix de Frutos Secos Salados El Peoncito x 100 g.,"$ 2.290,00"
La Anonima,Brócoli Envasado x 250 g.,"$ 3.990,00"
La Anonima,Almendras Peladas El Peoncito x 100 g.,"$ 1.490,00"
La Anonima,Castañas de Caju Salada y Tostada Villares x 150 g.,"$ 2.490,00"
La Anonima,Hierbas Aromáticas Frescas x 20 g.,"$ 1.390,00"
La Anonima,Nueces Peladas Mariposa El Peoncito x 200 g.,"$ 2.400,00"
La Anonima,Mix Frutas Secas El Peoncito x 250 g.,"$ 3.490,00"
La Anonima,Mix Araucano El Peoncito x 250 g.,"$ 3.490,00"
La Anonima,Ensalada Lechugas y Cherry Rie Rie La Huerta x 200 g.,"$ 920,00"
La Anonima,Nuez C/Cascara (Kg),"$ 1.800,00"
La Anonima,Blanco de Apio Rie La Huerta x 300 g.,"$ 6.990,00"
La Anonima,Espinaca Baby Hojas Verdes y Rojas Rie La Huerta x 150 g.,"$ 2.490,00"
La Anonima,Puerro Envasado x 250 g.,"$ 1.100,00"
La Anonima,Lechuga Hidropónica Mantecosa x 1 Un.,"$ 2.290,00"
La Anonima,Mix Frutas Secas The Happy Snack x 300 g.,"$ 2.100,00"
La Anonima,Mix de Frutos Secos Tropical El Peoncito x 100 g.,"$ 1.590,00"
La Anonima,Piña (Kg),"$ 2.890,00"
La Anonima,Espinaca y Acelga Lavada y Cortada Mic Rie La Huerta x 500 g.,"$ 4.990,00"
La Anonima,Mix de Frutas Secas Desec Patagónico El Peoncito x 100 g.,"$ 3.400,00"
La Anonima,Nueces Peladas Pote Conosur x 100 g.,"$ 3.000,00"
La Anonima,Pistacho c/Cascara Salado y Tostado El Peoncito x 200 g.,"$ 4.890,00"
La Anonima,Cramberries El Peoncito x 150 g.,"$ 6.590,00"
La Anonima,Semillas de Chía For Good x 150 g.,"$ 7.999,00"
La Anonima,Cebolla Verdeo (Kg),"$ 3.990,00"
La Anonima,Choclo sin chala (Kg),"$ 960,00"
La Anonima,Mix de Frutas Secas El Peoncito x 100 g.,"$ 3.990,00"
La Anonima,Pasas de Uva Moscatel El Peoncito x 250 g.,"$ 3.050,00"
La Anonima,Mix Brócoli Coliflor x 300 g.,"$ 2.990,00"
La Anonima,Almendras La Anónima (Kg),"$ 2.850,00"
La Anonima,Cebolla en Tubo (Kg),"$ 2.000,00"
La Anonima,Zanahoria Rallada Roots x 250 g.,"$ 2.990,00"
La Anonima,Espinaca Baby Rie La Huerta x 150 g.,"$ 3.550,00"
La Anonima,Kale & Remolacha Sueño Verde x 200 g.,"$ 6.200,00"
La Anonima,Almendras Peladas Medianas El Peoncito x 250 g.,"$ 1.590,00"
La Anonima,Mix Europeo El Peoncito x 250 g.,"$ 6.650,00"
La Anonima,Ensalada Lechuga Repollo y Zanahoria Rie La Huerta x 200 g.,"$ 5.000,00"
La Anonima,Ensalada Rúcula y Radicchio Sueño Verde x 110 g.,"$ 4.100,00"
La Anonima,Plátano (Kg),"$ 3.290,00"
La Anonima,Coco (Kg),"$ 4.390,00"
La Anonima,Maní Japones Conosur x 400 g.,"$ 3.750,00"
La Anonima,Mix de Frutas Secas Maní Almendras Casta Croppers x 80 g.,"$ 635,00"
La Anonima,Radiccio Envasado x 320 gr,"$ 2.290,00"
La Anonima,Chips de Manzana Roja Fruch x 35 g.,"$ 1.690,00"
La Anonima,Pasas de Uva Sultaninas La Parmesana x 250 g.,"$ 142,00"
La Anonima,Chips de Manzana Verde Fruch x 35 g.,"$ 1.690,00"
La Anonima,Mix de Frutas The Happy Snack x 40 g.,"$ 880,00"
La Anonima,Mix Europa The Happy Snack x 40 g.,"$ 920,00"
La Anonima,Mix Desayuno The Happy Snack x 40 g.,"$ 880,00"
La Anonima,Mix Energético The Healthy Snack x 50 g.,"$ 87,00"
La Anonima,Pistachos Tostados y Salados El Peoncito x 100 g.,"$ 5.000,00"
La Anonima,Avellanas Peladas Villares x 150 g.,"$ 315,00"
La Anonima,Semillas de Girasol El Peoncito x 100 g.,"$ 1.450,00"
La Anonima,Semillas de Chía El Peoncito x 100 g.,"$ 1.650,00"
La Anonima,Lechuga Hidropónica Variedades x 1 Un.,"$ 1.690,00"
La Anonima,Mix Desayuno The Happy Snack x 300 g.,"$ 5.350,00"
La Anonima,Ensalada Cítrica Sueño Verde x 200 g.,"$ 3.990,00"
La Anonima,Semillas de Chía Genser x 150 g.,"$ 999,00"
La Anonima,Almendras Peladas sin Tacc The Happy Snack x 50 g.,"$ 2.100,00"
La Anonima,Mix Energético sin Tacc The Happy Snack x 50 g.,"$ 1.600,00"
La Anonima,Ciruelas Secas El Peoncito x 500 g.,"$ 344,00"
La Anonima,Mix Global sin Tacc The Happy Snack x 25 g.,"$ 620,00"
La Anonima,Pasas de Uva Sultanina Negras El Peoncito x 250 g.,"$ 2.300,00"
La Anonima,Espinaca Baby Hidropónica Vequa x 170 g.,"$ 1.190,00"
La Anonima,Chaucha Envasada Mic x 230 g.,"$ 3.490,00"
La Anonima,Zanahoria y Remolacha Rallada Rie La Huerta x 250 g.,"$ 1.190,00"
La Anonima,Garrapiñada de Maní Conosur x 500 g.,"$ 4.150,00"
La Anonima,Mix Saladito Pote Conosur x 150 g.,"$ 2.550,00"
La Anonima,Acelga Cortada Rocky Rocky x 500 g.,"$ 1.190,00"
La Anonima,Ciruelas D Agen sin Carozo Nature Food x 200 g.,"$ 2.500,00"
La Anonima,Ciruelas President sin Carozo Nature Food x 200 g.,"$ 2.900,00"
La Anonima,Dátiles Nature Food x 200 g.,"$ 4.800,00"
La Anonima,Higos Negros con Almendras Los Carolinos x 250 g.,"$ 549,00"
La Anonima,Higos Negros Desecados Nature Food x 200 g.,"$ 2.900,00"
La Anonima,Mix de Frutas Deshidratadas Nature Food x 200 g.,"$ 3.450,00"
La Anonima,Pasas de Uva Rubias El Peoncito x 250 g.,"$ 336,00"
La Anonima,Pasas de Uva Morenas sin Semillas Nature Food x 200 g.,"$ 2.600,00"
La Anonima,Ciruela Presidente sin Carozo El Peoncito x 250 g.,"$ 5.500,00"
La Anonima,Pasas de Uva Rubias sin Semillas Nature Food x 200 g.,"$ 2.900,00"
La Anonima,Peras en Mitades Desecadas Nature Food x 200 g.,"$ 2.700,00"
La Anonima,Tomates Peritas Deshidratados Nature Food x 150 g.,"$ 4.750,00"
La Anonima,Cereza (Kg),"$ 4.390,00"
La Anonima,Cebolla en Juliana x 260 g.,"$ 999,00"
La Anonima,Frutas Surtidas Escurridas Almibaradas Villares x 250 g.,"$ 670,00"
La Anonima,Hongos de Pino El Peoncito x 75 g.,"$ 2.900,00"
La Anonima,Nuez Pecan con Cascara (Kg),"$ 9.590,00"
